year,n_scenes,veg_ge25_km2,veg_once_km2,veg_ge25_in_main_box_pct,veg_main_cluster_km2,veg_main_E0,veg_main_E1,veg_main_S0,veg_main_S1,con_ge25_km2,con_once_km2,con_ge25_patches,con_ge25_patches_gt0p05km2,con_largest_patch_km2,con_largest_E0,con_largest_E1,con_largest_S0,con_largest_S1,con_2019ge25_still_ge25_pct,con_2019patch_ge25_pct,con_2019patch_mean_freq_pct
2019,11,0.7785440944396246,2.5984232467576307,84.27464008859357,0.5550683145074533,5.816899641577061,8.039086021505376,3.0076600488997554,4.59063902200489,5.0364216,9.4057992,1561,18,0.554148,16.59,17.69,1.37592,2.46456,100.0,100.0,47.636116
2020,11,0.45315922041801404,1.1399678866756053,81.77321156773212,0.19536887242527012,6.470483870967741,7.90836917562724,3.0472345232273836,4.471915599022005,3.380076,12.9223584,1995,13,0.2123856,12.51,13.25,0.8366399999999999,1.3104,53.66009867005574,32.83765347885402,19.96114
2021,12,0.5964527181985961,2.5028942482372427,80.54350968488002,0.22468282503982964,6.483555555555555,7.90836917562724,3.0472345232273836,4.458724107579462,4.0780908,11.4936192,3336,10,0.20984039999999998,15.885,16.515,0.79632,1.44144,50.14710444415535,38.608458390177354,19.520613
2022,12,0.620421185336383,1.3655128867923338,85.29738743746526,0.20347331814811892,6.078333333333333,7.999870967741935,3.8255325183374085,4.603830513447433,3.7443671999999997,14.4493776,2960,11,0.2170224,16.01,16.505,0.68544,1.4212799999999999,47.167989272383394,35.03410641200546,21.668184
2023,10,0.7525064071172806,1.814188796810474,93.14848762603117,0.3679763228204117,4.4574444444444445,6.731917562724014,2.6910642542787286,4.392766650366748,5.3106228,14.2212924,2553,17,0.434952,16.615,17.68,1.4112,2.35872,50.230663771277605,72.90586630286494,38.185997
2024,2,0.9571867703730578,0.9571867703730578,81.60691767249145,0.3293508793753451,4.4574444444444445,5.8691863799283155,2.6910642542787286,3.8255325183374085,3.7601928,3.7601928,2881,11,0.1985004,16.0,16.5,0.66528,1.4011200000000001,32.30643757067518,24.379263301500682,19.63165
