date,mm
2018-12-01,12.122523723170161
2019-01-01,21.53486669063568
2019-02-01,17.403859972953796
2019-03-01,14.459501504898071
2019-04-01,9.1089938133955
2019-05-01,3.7723917216062546
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,1.6137499809265137
2019-11-01,10.448445556685328
2019-12-01,13.061320543289185
2020-01-01,7.109546273946762
2020-02-01,11.360455513000488
2020-03-01,9.304584264755249
2020-04-01,9.456717729568481
2020-05-01,3.1552944160066545
2020-06-01,0.18308768235147
2020-07-01,0.0234896983724866
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,1.0741337537765503
2020-11-01,23.965657711029053
2020-12-01,23.813660144805908
2021-01-01,5.943490207195282
2021-02-01,9.372163534164429
2021-03-01,4.3306965827941895
2021-04-01,7.386593006551266
2021-05-01,3.098687171936035
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,7.970888137817383
2021-12-01,30.203805565834045
2022-01-01,16.3155297935009
2022-02-01,9.474986553192139
2022-03-01,7.993753984570503
2022-04-01,7.651972860097885
2022-05-01,2.583546459674835
2022-06-01,0.0
2022-07-01,0.019160843454301357
2022-08-01,0.0
2022-09-01,0.1110956184566021
2022-10-01,0.0
2022-11-01,12.803928852081299
2022-12-01,23.636001765727997
2023-01-01,34.94328337907791
2023-02-01,18.78684175014496
2023-03-01,18.87644499540329
2023-04-01,14.810590624809265
2023-05-01,2.5923184230923653
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.8007199764251709
2023-11-01,34.889156341552734
2023-12-01,9.152033686637878
2024-01-01,8.410696744918823
2024-02-01,19.6887526512146
