DATE,TAVG,TMAX
2018-01-01,14.454838709677421,22.444
2018-02-01,17.925,25.192592592592593
2018-03-01,23.729032258064514,31.68333333333333
2018-04-01,25.993333333333332,29.3
2018-05-01,32.20645161290322,
2018-06-01,38.91666666666667,45.75416666666667
2018-07-01,40.41935483870968,47.331034482758625
2018-08-01,39.561290322580646,46.66129032258065
2018-09-01,36.72,44.87
2018-10-01,28.906666666666666,36.596
2018-11-01,20.166666666666664,24.372
2018-12-01,16.767741935483873,22.94761904761905
2019-01-01,14.825806451612902,20.656
2019-02-01,15.664285714285715,21.430769230769233
2019-03-01,18.838709677419352,25.310714285714287
2019-04-01,24.656666666666666,30.7
2019-05-01,33.20322580645161,41.02258064516129
2019-06-01,39.483333333333334,47.325
2019-07-01,40.260000000000005,47.03103448275862
2019-08-01,39.096774193548384,47.12083333333333
2019-09-01,36.339999999999996,44.923809523809524
2019-10-01,30.30344827586207,38.26923076923077
2019-11-01,20.966666666666665,28.341379310344827
2019-12-01,16.34516129032258,22.18148148148148
2020-01-01,14.329032258064515,20.529629629629632
2020-02-01,16.420689655172414,23.146153846153844
2020-03-01,20.848387096774193,27.72
2020-04-01,26.696666666666665,32.68095238095238
2020-05-01,33.15806451612903,40.90689655172414
2020-06-01,38.6,46.14074074074074
2020-07-01,39.84137931034483,47.41851851851852
2020-08-01,38.79677419354839,45.8
2020-09-01,35.79333333333334,43.93157894736842
2020-10-01,27.906451612903226,37.337037037037035
2020-11-01,22.443333333333335,28.361538461538466
2020-12-01,15.59032258064516,20.1375
2021-01-01,14.312903225806451,21.16296296296296
2021-02-01,17.088,24.394736842105264
2021-03-01,21.9,28.026923076923076
2021-04-01,28.78333333333333,37.13928571428572
2021-05-01,35.28064516129032,43.255172413793105
2021-06-01,39.41666666666667,46.73448275862069
2021-07-01,40.575,48.06666666666667
2021-08-01,39.3,47.207142857142856
2021-09-01,36.010000000000005,43.268181818181816
2021-10-01,30.044827586206896,37.30769230769231
2021-11-01,22.336666666666666,28.965384615384615
2021-12-01,16.458064516129035,21.985714285714288
2022-01-01,13.706451612903226,18.95714285714286
2022-02-01,17.446428571428573,23.67037037037037
2022-03-01,20.43548387096774,27.244
2022-04-01,28.173333333333336,35.11304347826087
2022-05-01,32.91612903225807,39.62413793103448
2022-06-01,38.95,46.65
2022-07-01,40.01379310344827,46.89230769230769
2022-08-01,39.329032258064515,46.355000000000004
2022-09-01,34.96666666666667,43.3448275862069
2022-10-01,29.590322580645157,39.141379310344824
2022-11-01,23.513333333333332,29.30769230769231
2022-12-01,17.703225806451613,22.237037037037037
2023-01-01,13.638709677419353,18.163999999999998
2023-02-01,15.639285714285714,21.331818181818182
2023-03-01,21.36774193548387,27.953846153846154
2023-04-01,26.32,33.218518518518515
2023-05-01,32.77096774193548,39.21071428571428
2023-06-01,39.086666666666666,45.67857142857143
2023-07-01,40.903225806451616,48.165517241379305
2023-08-01,39.44,47.12
2023-09-01,37.00666666666667,44.71052631578947
2023-10-01,30.383870967741935,37.57142857142857
2023-11-01,21.756666666666668,27.854545454545455
2023-12-01,17.79032258064516,24.820833333333333
2024-01-01,17.119354838709675,22.946153846153845
2024-02-01,16.986206896551725,23.37272727272727
2024-03-01,20.322222222222223,26.560000000000002
2024-04-01,27.15,34.14583333333333
2024-05-01,33.35666666666667,40.165517241379305
2024-06-01,39.85666666666667,47.89259259259259
2024-07-01,41.346428571428575,47.912
2024-08-01,40.513333333333335,47.785000000000004
2024-09-01,36.803333333333335,43.88260869565217
2024-10-01,27.825806451612902,35.71034482758621
2024-11-01,22.534615384615385,28.3
2024-12-01,15.3,21.868000000000002
2025-01-01,14.490322580645161,20.733333333333334
2025-02-01,14.903571428571428,20.33684210526316
2025-03-01,20.241935483870968,25.62608695652174
2025-04-01,28.644827586206894,36.348
2025-05-01,36.116129032258065,43.55185185185185
2025-06-01,38.18,45.60416666666667
2025-07-01,40.37037037037037,47.51538461538461
2025-08-01,39.65416666666667,47.51764705882353
