,rain_mm,TAVG,TMAX,rain_3mo,rain_6mo,wateryear
2018-01-01,,14.45483870967742,22.444,,,2018
2018-02-01,,17.925,25.192592592592597,,,2018
2018-03-01,,23.729032258064517,31.68333333333333,,,2018
2018-04-01,,25.99333333333333,29.3,,,2018
2018-05-01,,32.20645161290322,,,,2018
2018-06-01,,38.91666666666667,45.75416666666667,,,2018
2018-07-01,,40.41935483870968,47.33103448275863,,,2018
2018-08-01,,39.561290322580646,46.66129032258065,,,2018
2018-09-01,,36.72,44.87,,,2019
2018-10-01,,28.906666666666663,36.596,,,2019
2018-11-01,,20.166666666666664,24.372,,,2019
2018-12-01,12.12252372317016,16.767741935483873,22.94761904761905,,,2019
2019-01-01,21.53486669063568,14.825806451612902,20.656,,,2019
2019-02-01,17.403859972953796,15.664285714285716,21.430769230769236,51.06125038675964,,2019
2019-03-01,14.459501504898071,18.838709677419352,25.310714285714287,53.39822816848755,,2019
2019-04-01,9.1089938133955,24.656666666666663,30.7,40.97235529124737,,2019
2019-05-01,3.772391721606255,33.20322580645161,41.02258064516129,27.340887039899826,78.40213742665946,2019
2019-06-01,0.0,39.48333333333333,47.325,12.881385535001755,66.2796137034893,2019
2019-07-01,0.0,40.260000000000005,47.03103448275862,3.772391721606255,44.74474701285362,2019
2019-08-01,0.0,39.096774193548384,47.12083333333333,0.0,27.340887039899826,2019
2019-09-01,0.0,36.34,44.92380952380952,0.0,12.881385535001755,2020
2019-10-01,1.6137499809265137,30.30344827586207,38.26923076923077,1.6137499809265137,5.386141702532768,2020
2019-11-01,10.448445556685328,20.966666666666665,28.341379310344827,12.062195537611842,12.062195537611842,2020
2019-12-01,13.061320543289185,16.34516129032258,22.18148148148148,25.123516080901027,25.123516080901027,2020
2020-01-01,7.109546273946762,14.329032258064515,20.529629629629632,30.619312373921275,32.23306235484779,2020
2020-02-01,11.360455513000488,16.420689655172414,23.146153846153844,31.531322330236435,43.59351786784828,2020
2020-03-01,9.304584264755247,20.848387096774196,27.72,27.7745860517025,52.898102132603526,2020
2020-04-01,9.45671772956848,26.696666666666665,32.68095238095238,30.121757507324215,60.741069881245494,2020
2020-05-01,3.1552944160066545,33.15806451612903,40.90689655172414,21.91659641033038,53.44791874056682,2020
2020-06-01,0.18308768235147,38.6,46.14074074074074,12.795099827926604,40.569685879629105,2020
2020-07-01,0.0234896983724866,39.84137931034483,47.41851851851852,3.361871796730611,33.48362930405483,2020
2020-08-01,0.0,38.79677419354839,45.8,0.2065773807239566,22.123173791054338,2020
2020-09-01,0.0,35.79333333333334,43.93157894736842,0.0234896983724866,12.81858952629909,2021
2020-10-01,1.0741337537765503,27.906451612903226,37.33703703703704,1.0741337537765503,4.436005550507161,2021
2020-11-01,23.965657711029053,22.44333333333333,28.361538461538466,25.039791464805603,25.24636884552956,2021
2020-12-01,23.813660144805908,15.59032258064516,20.1375,48.85345160961151,48.876941307984,2021
2021-01-01,5.943490207195282,14.312903225806451,21.16296296296296,53.72280806303024,54.79694181680679,2021
2021-02-01,9.372163534164429,17.088,24.394736842105264,39.12931388616562,64.16910535097122,2021
2021-03-01,4.3306965827941895,21.9,28.02692307692308,19.6463503241539,68.49980193376541,2021
2021-04-01,7.386593006551266,28.78333333333333,37.13928571428572,21.089453123509884,74.81226118654013,2021
2021-05-01,3.098687171936035,35.28064516129032,43.25517241379311,14.81597676128149,53.94529064744711,2021
2021-06-01,0.0,39.41666666666667,46.73448275862069,10.4852801784873,30.1316305026412,2021
2021-07-01,0.0,40.575,48.06666666666667,3.098687171936035,24.18814029544592,2021
2021-08-01,0.0,39.3,47.207142857142856,0.0,14.81597676128149,2021
2021-09-01,0.0,36.010000000000005,43.268181818181816,0.0,10.4852801784873,2022
2021-10-01,0.0,30.044827586206896,37.30769230769231,0.0,3.098687171936035,2022
2021-11-01,7.970888137817383,22.336666666666662,28.96538461538461,7.970888137817383,7.970888137817383,2022
2021-12-01,30.203805565834045,16.458064516129035,21.985714285714288,38.17469370365143,38.17469370365143,2022
