image,cls,L3,L5,L7,L11,L21,L31,L61,L121,L241
63,vegetation,2127.899099282862,1475.0204672251077,1122.1382069069696,762.4377584716511,412.5234537808795,274.3672916043319,98.95609228718457,34.78781868500932,9.042920845487727
63,contamination,12.815294114593211,11.893563096500245,11.191679487439984,10.151815513296942,8.568255575654337,7.581522933518183,5.982405944987186,4.402914529986674,3.1329958968094087
62,vegetation,394.66894586004406,321.07305558884866,274.88043556778564,214.30505743645216,133.16517644031964,95.17504183447191,46.73675337508603,23.841375734911242,9.308448486253228
62,contamination,36.47343979034522,34.36418933606886,32.566721934811184,29.540477312007127,24.396532909825453,20.99849033545526,14.93731870157453,8.92517726161151,4.772760773602171
61,vegetation,161.50523922261425,132.45947666081216,112.0154672006394,87.58654677127876,56.94496910505793,43.03219649452734,26.65789917540572,17.3151986632846,7.68908586758625
61,contamination,35.92220902447954,33.68759356270943,31.79765393989449,28.733789028116252,23.41027106460683,19.952796405177747,13.838618968948149,8.097142167165227,4.2232861341025405
60,vegetation,533.3876399944894,363.56657595307513,266.33659135110656,161.09427966101694,71.96257228543301,45.00630701021535,23.13970020477493,13.64035732468914,6.428876201133249
60,contamination,41.983965583339234,38.22420368274186,35.19013870221073,30.28933542732141,22.49292507186703,17.935532601113994,11.338705587971825,6.392497895254186,3.403871169238063
59,vegetation,82.2760126998115,68.67959411845054,59.77286123057314,48.48802657150211,34.7584980652241,27.493949156744552,18.969969161635174,11.46340401830354,4.998470306345778
59,contamination,39.67730662459871,35.98080537314663,33.14236494071884,28.777896957029196,22.270480328690407,18.49252570111559,12.761925420465898,7.560031401743735,4.1605743857148285
58,vegetation,326.45728658081606,253.44559493985517,205.1359954344632,147.97490149421614,86.48377044475272,61.10524619328322,36.33315092506007,20.16974796156508,8.247410504547801
58,contamination,50.0356188333042,46.15400089143678,42.8780304509124,37.50276377912675,28.88715504554736,23.53851188325041,15.64136216184172,8.707368122467553,4.248877291095878
57,vegetation,95.91874774276727,81.61592207520496,72.4715989870566,60.56267266130222,46.07500581349192,37.79324692315291,27.492567302227094,16.253223959556706,6.919363393247864
57,contamination,36.9868152017236,33.40485476771193,30.6239692322136,26.397728525701158,19.922971350606318,15.977572880989099,10.284532226780776,5.8117538296131075,3.246804638042563
56,vegetation,626.3882608505959,436.91164792878664,326.2572843063678,208.33516980775724,93.25214491172386,55.375228444934365,27.759908896085886,14.256512512365564,6.147066312584997
56,contamination,48.64781638971137,44.070157774599544,40.376926458455614,34.67954107400971,25.515209814457577,20.239924941666594,12.658465411993905,6.76420436793942,3.3262255052779786
55,vegetation,425.1622908538294,304.037864764884,235.88699825756055,158.1930674147207,81.50239256896228,52.57091174996799,28.9417102348599,14.599541065578018,6.118870209460498
55,contamination,50.487387475227486,45.67296715995827,41.726585828659736,35.52810043002432,25.88563358589351,20.111179150032505,12.327259692182006,6.386117304531999,3.278584869080504
53,vegetation,1285.145090477092,832.8115738813734,571.6267114327625,335.2079471033978,122.8414499109022,67.89518325836316,25.546865249407166,11.651157822065532,5.2139058824784374
53,contamination,53.48487882165536,47.83322667591876,43.29605152530656,36.26653228958087,25.64483502118571,19.85121529026122,11.942843002548448,6.159945749284986,3.0940725352345058
52,vegetation,529.4828184874256,361.1804799169675,268.62044637483757,166.2900114058705,71.88426621404608,46.18194845429362,23.43804107623506,12.478894422234326,5.900920210333791
52,contamination,35.826910766916995,31.88274369432136,28.86070155851991,24.445633553744734,17.802790145313075,14.141782878078644,8.941620061062416,5.101494885747058,2.9767309950735323
51,vegetation,437.0243566224287,317.81998746100834,244.2019872757542,162.00294833096592,75.55400118610346,48.337281776570116,23.617176467851273,11.297802883900697,5.842524630461039
51,contamination,42.64445023753222,38.60178126341489,35.42008091400956,30.40853157320921,22.516445395863332,17.961147160698808,11.05372633601698,5.77136885528852,3.1027199098574556
50,vegetation,494.9314479781921,346.6058325014903,257.81034768365157,159.39540427092624,70.53324452551941,42.781193762004364,21.40292609266629,11.094919344380656,5.616675556077503
50,contamination,29.275205124051585,25.749424240588315,23.102231053975014,19.351223919654245,14.131115361054505,11.371545910726487,7.26545262703882,4.290395365907001,2.688392999769695
49,vegetation,516.7644024174726,356.9970514816601,264.28371439914997,158.28181583884773,69.02395335911666,42.010138860016355,20.475767712294783,10.645534927621336,5.253201434239504
49,contamination,60.488210575068734,55.191650389286856,50.75594225658566,43.42768716021071,31.68276233977534,25.15770519314698,15.181254384990721,7.457177154957797,3.414890054146177
48,vegetation,250.11187239342195,199.96693254113256,167.3889493060767,128.05179512368906,78.57788042963605,57.77885716754925,30.973737885047047,15.799196462861946,7.119863746577533
48,contamination,58.763785974467325,53.256930449694416,48.67093761373349,41.27452281988452,29.53315999056757,22.7490005475058,13.470166352946798,6.829478967586136,3.297971506272102
47,vegetation,926.222535390457,583.7595856376747,409.1941100847336,234.56342352804333,88.37695263814288,52.94030126449509,22.525163271584443,11.446658558560927,5.815954107167884
47,contamination,62.823622131629925,55.19828660550832,49.23133764082656,39.95361267430112,26.289926328398362,19.171774324587844,10.637317772661106,5.400638121853049,2.6663233263821255
46,vegetation,247.9514799643218,193.50482174534108,159.4615095806613,118.71208108075307,70.18899853326894,51.432924526221306,29.675157867225384,16.297184867643047,7.237589008171073
46,contamination,91.53264269758846,81.10803323425738,72.26998104358638,58.4116674567267,39.54725730923507,29.830122505146516,17.39933841348272,8.587297281446133,3.7260428576061027
44,vegetation,2710.085934178372,1763.7759182101468,1234.4517668005847,737.4562830135096,282.0520890041378,132.91794285714283,42.27798150510205,11.931094464551247,4.167591952236231
44,contamination,72.3988434615732,61.0781827434404,52.550749684315996,40.562273133191646,26.07081291324616,18.99134936314532,10.348578283948115,5.108390502404849,2.5798740655333257
43,vegetation,992.4958820879215,654.8253004250508,465.242907751932,253.99851801274036,100.54892616340582,57.7220093909407,25.24827869559559,12.82587981784972,6.2242122051668565
43,contamination,71.44594374618569,62.472830741328195,55.23389478974521,44.65422813523365,30.118661962311876,22.418804216852205,12.599708837813449,6.394919809874753,3.2055386523767857
42,vegetation,2792.7644814429414,1623.1485738612175,1138.3627568204015,571.8561742630836,217.319517851633,94.78352901569666,28.088155759870205,9.093674703732235,2.994017036235803
42,contamination,70.74756701308439,62.31814818097462,55.38918708204591,44.92325605003756,30.4201659732986,23.2547058707068,13.712411514211187,7.0544860925433746,3.4378941527198057
41,vegetation,304.77348641177696,230.32155402403995,181.51537658875318,126.58324709987414,65.40112079959802,43.80801943076021,23.443765264877502,12.682109693444907,6.347141436384834
41,contamination,77.20224365971698,67.74602888465324,60.09602297939934,48.21260000069138,32.02259349549041,24.007966081868577,14.078004206013944,7.1771062354105135,3.4518873561937475
40,vegetation,412.99165902874597,299.2269457198167,231.59921142603864,156.7708387795825,80.3688087373795,51.310118658941136,27.669282265534203,16.039104686715554,7.475478967097044
40,contamination,45.33721815084639,39.86072336129247,35.63799215937508,29.498729014530372,21.109946118786706,16.648106716564932,10.710674798633775,6.123210154260278,3.356559894913173
39,vegetation,254.0614026620667,193.90273974998007,159.2490801828118,116.99190314618282,71.14535777311886,52.52516446963775,33.56447698457054,17.727190214797982,7.033936036057891
39,contamination,15.781961949715528,14.193127909278783,12.998530101117929,11.29254276842053,8.91545948069079,7.5555061190101815,5.505411328918947,3.8869143830470536,2.7689154440359482
38,vegetation,185.12997146274648,151.62675256450578,128.23998492271176,100.4971369222712,64.49625466621512,47.07614677961981,29.23246762160861,16.992467613999303,7.175383337456661
38,contamination,44.3583263120173,40.09998532359223,36.67783568413478,31.34523231084379,23.094870442551553,18.366105816548203,11.508059374291278,6.103780158131383,3.2802734693315143
37,vegetation,80.33311135703897,67.39182745832605,58.717505588020266,47.65507806320732,34.209762229487445,27.609366951342377,18.630363200086432,11.778263265684004,5.624980722334228
37,contamination,25.39059712510085,23.065490281839995,21.2744113898158,18.59662350660438,14.563704823648756,12.231705421725666,8.621539527289883,5.491055542674557,3.3039108635851004
36,vegetation,1166.275022627259,768.0266950898655,556.5358627218937,343.80285766352335,142.81235534233895,80.18585118420236,27.805060609344196,12.42435542118082,6.001392754950991
36,contamination,93.61590478526321,86.57697485336845,80.04730239450078,68.11980311533277,47.70605351900282,36.02943961269732,19.83729909572804,9.199673744445331,3.883391741624905
35,vegetation,158.05309917042555,127.30018697446765,108.28890920481281,83.32790582134022,54.65226904543647,39.97338185043893,24.320081097751014,14.366118844924944,6.577046323017502
35,contamination,73.72335471535136,63.85368577274214,56.169056537426954,45.19075992314346,31.063915495357275,23.737840905890486,13.82177091653591,6.681410346625041,3.2903835568728974
34,vegetation,1987.4503478877125,1147.7665747380033,783.483539542545,425.3539840400129,181.1469269731608,90.78135267295863,32.076605804536996,13.806397306397306,4.847235653756002
34,contamination,51.08268468476533,43.343984729464395,37.673654644880294,29.894269495107967,20.124288473872326,15.119012958066333,8.977669604184454,4.729525118861096,2.5822432714341508
33,vegetation,2046.3971363339472,1530.3003537657867,1194.9132231349192,823.4876647496861,391.0833191449842,231.39863642939815,91.83865677242378,23.02137111952407,6.247040380951923
33,contamination,42.111071641702566,35.92147019800152,31.4919898406555,25.25774982192507,17.169576922599365,13.030011057816836,7.845583732994194,4.345473115410313,2.5337046413388657
32,vegetation,265.71559092609596,203.30105887644848,166.4492251129097,123.18403236674581,71.070998221082,47.231767561213864,23.44536056306715,12.117252779069583,5.4982829355222576
32,contamination,74.91623679567248,65.2631029125268,57.792621207301195,45.85424365191442,29.806492439217546,21.80721672561991,12.237668034157473,6.116072414034301,3.005766831213865
31,vegetation,696.4344247385658,473.77708695993095,355.5280735538015,215.70038985582008,98.34428533203514,61.04071415693421,23.15792843520443,9.504223317372107,3.902684068279718
31,contamination,37.708949190701134,30.756415782488837,26.12643404830262,20.27197030785137,13.400215690722376,10.104276385358423,6.149015787381255,3.5381156868229233,2.210718011865491
30,vegetation,1529.2018242193544,913.0630745050347,614.7744509292694,367.5719726432788,133.42068639053255,76.02608572964259,24.56604494450459,10.136135204081633,4.85426254657024
30,contamination,40.91047760398167,34.911170199950014,30.577779451431407,24.518594230442336,16.717894735146547,12.813844012201455,8.001642166205691,4.399368667863487,2.4698178115352434
29,vegetation,618.83727937892,435.9120076095267,336.39993883591256,224.02539718959792,106.08010337284476,65.76035474609303,26.812278342559907,13.419459661217903,7.02424634991772
29,contamination,82.40946504692687,72.63189529830903,64.44568095438254,51.89790158839644,35.171593029840004,26.530068291083314,15.71798645852104,7.759748932421393,3.5172412195618556
28,vegetation,528.9540786686371,392.36850574879446,315.5118898207204,221.1688024222815,117.59053510283837,74.4800833738622,31.934946282959036,14.69055021895182,7.140057101290598
28,contamination,32.67028527940067,28.717419244701663,25.72622615029697,21.423730709476246,15.72327332767317,12.629683036448203,8.352210391068851,4.925936953338913,2.9370446690834107
27,vegetation,338.0202719238417,266.8423570404864,221.36342674170112,166.20151950165842,95.27813025034033,62.077276179269916,29.277606162534095,13.506327849466341,6.898127308071365
27,contamination,36.248757772578145,32.26931336184499,29.191625142003275,24.609752449350022,18.182846630832795,14.661226513343099,9.676129993838602,5.764663783062742,3.1961019991891173
26,vegetation,315.6263109947708,256.0041851756524,220.22063628060062,169.72304905776457,108.04149816192604,75.21971382384254,36.0401333091146,19.508879240767207,8.096092422597685
26,contamination,40.921575364420434,36.21141659924256,32.59465948083171,27.523284466291607,20.607553165438485,16.719912127956935,10.747488610012956,5.945836386648329,3.3379002655906933
25,vegetation,192.40386404975592,158.16103106882193,136.3599085326117,107.41111677692842,70.79975638075987,50.5177275364227,26.312510816114067,14.726487894365178,6.593135889336268
25,contamination,46.625140349186964,40.45600336537552,35.826586816531126,29.000120299133204,19.692890954461348,15.028915145147536,8.942594314865342,4.8235308345056485,2.766550019994677
24,vegetation,208.42346163466704,169.86140376999668,143.41192351544223,110.9651328250169,72.16692017247965,51.02162350573664,25.900832192659436,14.024583990319663,6.484288076689439
24,contamination,70.54196799341399,61.51771336852693,54.558999606144305,43.451386087228265,28.15878106355123,20.31571784971261,11.379730905911327,5.645947794141631,2.8930852779969305
23,vegetation,2045.1905829475866,1133.7852876518534,713.5018209965134,401.9860988358881,154.11881709984394,78.12293623794513,23.333347255170562,8.547878787878787,3.852319804447549
23,contamination,65.89350498356505,59.202857718871314,53.87176146989824,44.75677186944805,30.782393274554806,23.653681913118255,13.733444771732838,6.762734169725603,3.0455239071118116
22,vegetation,658.6712048442627,493.6793849402895,386.2786832111948,273.66162579563917,129.12977278327938,77.42997016702266,30.33687531487237,14.306668033516885,7.295856722816777
22,contamination,113.53501788016226,99.76634127211288,88.27927393477407,69.87899897661008,44.50155399700715,32.1284078513087,17.15719869845758,8.080976607435385,3.6604591022835526
21,vegetation,1050.5721543471625,692.97068701454,535.9851289294214,342.2945330921911,137.50947674212628,70.99332799546086,23.57918668252081,9.266085290743652,4.269021576713884
21,contamination,20.322813197160592,16.99235590243693,14.788684727852203,11.955813552708436,8.472018022809888,6.781595777294429,4.602399675956599,3.1127569933757977,2.2513241089295697
20,vegetation,511.4980732828557,386.97688769338885,306.95102247679506,211.7654424907586,101.0041630602316,62.35991685892114,25.81165714699793,12.582554132016261,6.118827555693232
20,contamination,45.24728353441385,38.2865628941859,33.63563475372895,27.038256761045467,18.275439988194666,13.729300829163673,8.270124880249343,4.467751953848132,2.535721573567401
19,vegetation,262.0684812721525,212.31221146164776,178.98566886195724,136.0584962710601,85.48507240341942,59.63111386014481,28.970561581328145,15.901385385832981,7.397511436097437
19,contamination,73.84729293873282,64.49844859647897,56.9701708932585,45.96970160816905,31.68908350094359,24.47553247770662,14.808206850186053,7.343402708563772,3.349077645215787
18,vegetation,321.8076629992721,255.27780467166764,213.2876680506274,157.5673984300852,90.29414633695552,59.16505021551593,27.597519304303706,13.53870820085985,6.406319780148502
18,contamination,68.03735274180254,58.99505715307424,52.15109260927393,41.40548663285253,26.479211262799964,19.21448413002318,10.498329001438625,5.298984059824427,2.7335016168596633
17,vegetation,350.135498667344,278.0346448221192,234.52905230364001,176.6399964693443,103.02750889150337,68.02728602661614,32.239053209994964,15.711053134345407,7.551231878744993
17,contamination,54.79230828798195,47.134216115104465,41.37873592163328,33.13766171792174,22.1614167998328,16.747535042000507,9.80949018196963,5.124844353622372,2.8126084946133902
16,vegetation,263.2464946353248,213.62950725898236,183.21057476582362,139.68682107065055,87.46581141882002,61.2367805523587,29.861335138641547,14.614317524350191,7.445008387543252
16,contamination,33.35663418560419,29.343029174271518,26.34725072891645,22.067264300203977,16.106151810122313,13.042531884784193,8.674115281494668,5.276899111874932,3.180671543011663
15,vegetation,243.30628033772413,200.60541272083248,172.80767641066876,136.93210299777593,91.18257110264476,67.1585191624048,34.43568772889533,16.765432223390775,7.794879666224416
15,contamination,22.08624533078387,19.647333270631275,17.816950006415972,15.26864918608225,11.817790313784666,9.951486122226402,7.184832013160066,4.942739751132015,3.1958651163222407
14,vegetation,160.06978434903047,135.10999313924623,119.44999870421117,99.03923244378254,72.67475836754559,59.150900649575,34.82506694689407,17.12455984613357,7.1264305201247184
