,veg_km2,veg_km2,veg_km2,veg_km2,con_km2,con_km2,con_km2,con_km2
,count,mean,std,median,count,mean,std,median
year,,,,,,,,
2018,1,0.043,,0.043,1,13.598,,13.598
2019,11,0.551,0.578,0.273,11,4.069,0.647,4.074
2020,11,0.258,0.189,0.217,11,3.504,2.557,2.579
2021,12,0.413,0.509,0.195,12,3.51,1.419,3.63
2022,12,0.39,0.216,0.415,12,3.646,1.935,3.052
2023,10,0.484,0.299,0.447,10,4.846,2.112,4.617
2024,2,0.685,0.272,0.685,2,3.499,0.539,3.499
