scene,n_pos,n_neg,med_pos,med_neg,auc,youden_thr,sens,spec,sens010,spec010
LC08_L2SP_165040_20191010_02_T1,12190,112033,0.09360049616187877,0.1044012822521681,0.39457505917536734,0.14219232661336462,0.03814602132895816,0.9800148170628297,0.4031993437243642,0.43202449278337635
LC09_L2SP_165040_20231013_02_T1,12190,112033,0.12009298556196155,0.11775980537888543,0.54093649652492,0.1454499547044906,0.22616899097621002,0.9488811332375282,0.7630024610336341,0.18258905858095384
LC09_L2SP_165040_20221010_02_T1,12190,112033,0.11063029403756822,0.12375620616994926,0.35345227188165806,0.15500954145018353,0.04864643150123052,0.9850668999312703,0.6773584905660377,0.1422884328724572
