id,date,platform,path,cloud,sun_el,n_valid,valid_frac,red_med,swir2_med,hci_mean,hci_med,hci_sd,hci_p5,hci_p10,hci_p25,hci_p75,hci_p90,hci_p95,frac_lt_0,frac_lt_005,frac_gt_010,frac_gt_015,frac_gt_020
LT05_L2SP_165040_19890617_02_T1,1989-06-17,landsat-5,165,0.0,62.00003585,184931,0.9995567879013908,0.398125,0.5360375,0.1452751358900284,0.1446305272348255,0.0255089439529886,0.1297194079673795,0.132991141001746,0.1379652656960544,0.1530877810398238,0.1606634412966522,0.1651295994621234,0.0012599293790657,0.0015951895571861,0.9974801412418686,0.3294688289145681,0.0031092677809561
LT05_L2SP_166040_19890624_02_T1,1989-06-24,landsat-5,166,1.0,61.64654768,68560,0.3716714372452077,0.4144325,0.5365325000000001,0.1287139185586228,0.1286462920010831,0.0092192123759357,0.1190111779531015,0.1218749753689914,0.125328099435916,0.1323599381655001,0.1363309075589624,0.1382869811445016,0.0004229871645274,0.0005834305717619,0.9960472578763128,0.0019107351225204,0.0001750291715285
LT04_L2SP_165040_19890625_02_T1,1989-06-25,landsat-4,165,0.0,62.85655362,184977,0.9998054190786594,0.3832475,0.513625,0.1482839391642026,0.1463927446461002,0.0144473469176614,0.1315863389327624,0.1354175999916909,0.1405654678983386,0.1534411962097812,0.1629282532194905,0.172151799869926,0.0002054309454688,0.0004703287435735,0.9987079474745508,0.3487406542435005,0.0068116576655476
LT04_L2SP_166040_19890702_02_T1,1989-07-02,landsat-4,166,1.0,62.43954321,90751,0.4919713331598577,0.4092349999999999,0.545525,0.1408447007024889,0.1415694940511958,0.0103839467349205,0.1277120275572999,0.1321072190455834,0.1366361791163743,0.1455529100254133,0.149962397232915,0.1528699491545815,0.0003636323566682,0.0005399389538407,0.9977300525614042,0.0987427135789137,0.0005179006291941
LT05_L2SP_165040_19890703_02_T1,1989-07-03,landsat-5,165,0.0,61.06999976,184978,0.999810824104252,0.39114,0.5314725,0.1520550895509748,0.1500726190088426,0.0169439963319131,0.1330245684695367,0.1363216538213421,0.1418649960581869,0.1604348977277967,0.1695526877963144,0.1775716982404905,0.0003297689454962,0.000518980635535,0.9985565851074182,0.5016758749689152,0.0112499864848792
LT05_L2SP_166040_19890710_02_T1,1989-07-10,landsat-5,166,2.0,60.54952163,56413,0.3058211900425015,0.399995,0.5244875,0.1353963059741135,0.1357278547677712,0.0087060640879203,0.1232804381601835,0.1262315126363548,0.1308938101704767,0.140440762530168,0.1446121174576702,0.1471056642603425,0.000443160264478,0.0006026979596901,0.998404623047879,0.0192331554783471,8.863205289560917e-05
LT05_L2SP_165040_19890719_02_T1,1989-07-19,landsat-5,165,0.0,59.81260885,184965,0.9997405587715458,0.3936425,0.5248999999999999,0.1445105655521459,0.1434923491754708,0.0138349778153139,0.1278232165883338,0.132371810149521,0.1375032668278777,0.1508636482738348,0.158765072184349,0.1636380667693812,0.0003730435487794,0.000567674965534,0.9976752358554322,0.2768469710485767,0.0026978076933473
LT05_L2SP_166040_19890726_02_T1,1989-07-26,landsat-5,166,0.0,59.17723533,54888,0.2975539942753057,0.4053025,0.53843,0.1412648475853338,0.1413467125118267,0.0076262385063229,0.1319536337639666,0.1345498878760122,0.1379409370092685,0.1445333983674372,0.1479460520742544,0.150258496969299,0.0004372540445999,0.0005283486372248,0.9990526162367002,0.0586102608949132,0.0001275324296749
LT05_L2SP_165040_19890820_02_T1,1989-08-20,landsat-5,165,0.0,56.29669978,184950,0.999659483387654,0.365675,0.501635,0.1618180282696665,0.1580114559052182,0.0279797482399312,0.1384876574253383,0.1429585406553595,0.1495291386384286,0.1727418151289619,0.190106408189734,0.1995484568715948,0.0011354420113544,0.0014436334144363,0.99742633144093,0.7340200054068667,0.048007569613409
LT05_L2SP_166040_19890827_02_T1,1989-08-27,landsat-5,166,0.0,55.24236817,60287,0.326822577847168,0.4020025,0.5340575000000001,0.1409538590398276,0.1411164581362972,0.0086906491628948,0.1310665674343765,0.1339678998139122,0.1375227054557126,0.1447166674050108,0.1483068281995639,0.1506077235576979,0.0003815084512415,0.0004810323950437,0.9984242042231328,0.0634796888218023,0.0001658732396702
LT05_L2SP_165040_19890905_02_T1,1989-09-05,landsat-5,165,4.0,53.68185045,184980,0.9998216341554376,0.345435,0.48222,0.1620948247963258,0.1617077109894328,0.0133673880309284,0.1453863648453454,0.1490501413839054,0.1549312904482144,0.1691800213726321,0.1754502669573662,0.1791067305692452,0.0003351713698778,0.0005568169531841,0.9989944858903664,0.8855497891663964,0.0042491080116769
LT05_L2SP_166040_19890912_02_T1,1989-09-12,landsat-5,166,0.0,52.30104964,94799,0.5139159944487813,0.4149275,0.5318025,0.1238146776232624,0.1236224702957823,0.0110274520824452,0.1107014044657625,0.1152901944803631,0.1197710722219661,0.1287631522202591,0.1329066316213186,0.1354966255029728,0.0003797508412535,0.0006962098756315,0.9897783731895906,0.0042932942330615,0.0008860852962583
LT05_L2SP_165040_19890921_02_T1,1989-09-21,landsat-5,165,0.0,50.31915862,184998,0.999918924616108,0.3998575,0.5349375000000001,0.1458147472821787,0.1422873711201707,0.0183544816730791,0.1260676100671467,0.1305522631698845,0.1356372513309943,0.1527139312220545,0.1678711834852921,0.1778840417010605,0.0003027059751997,0.0005405463842852,0.9974594319938594,0.2970140217732083,0.0089460426599206
LT05_L2SP_166040_19890928_02_T1,1989-09-28,landsat-5,166,0.0,48.61820309,50985,0.2763953942232631,0.406705,0.536945,0.1363443235098212,0.1370783136574577,0.0134831258123149,0.1271237726427423,0.1283687999756547,0.1322761431958918,0.1411749291047323,0.1445926418989074,0.1459245677227328,0.0007060900264783,0.0008041580857114,0.998705501618123,0.0137491419044817,0.0002157497303128
LT05_L2SP_165040_19891007_02_T1,1989-10-07,landsat-5,165,0.0,46.27045814,184967,0.9997513688227314,0.3899849999999999,0.52149,0.1424768314540796,0.1412836753327902,0.0155609469560729,0.1250656252733674,0.1298934666757143,0.1349670206810189,0.1491405310268054,0.1582512657661597,0.1640240467612415,0.0003676331453718,0.000632545264831,0.9966913016916532,0.2338146804565138,0.0026707466737309
LT05_L2SP_165040_19891023_02_T1,1989-10-23,landsat-5,165,0.0,41.85437465,184976,0.9998000140530664,0.40247,0.5214075,0.1282161932572706,0.12648055331527,0.016551195277347,0.1105254957830247,0.1141864607666238,0.1194717786324813,0.1355797406979607,0.1438091689451522,0.1485756822212063,0.0003838335784101,0.000664951128795,0.9895067468212092,0.0405458005362857,0.0044005708848715
LT05_L2SP_166040_19900102_02_T1,1990-01-02,landsat-5,166,0.0,29.36716152,66840,0.3623471246422066,0.401095,0.5069425000000001,0.1176723833385292,0.1167364245878,0.0123133667701993,0.1047901446426502,0.1053620655663135,0.1109149958358133,0.1226947245620243,0.1293009471542399,0.135140710617846,0.0004787552363853,0.0009275882704967,0.9642579293836028,0.007196289646918,0.0001196888090963
LT05_L2SP_165040_19900111_02_T1,1990-01-11,landsat-5,165,0.0,29.7485,184934,0.9995730029781692,0.3902875,0.5033125,0.1243043142751637,0.1216406175519427,0.0275374596442485,0.098380961844698,0.1032323883894677,0.1096009111497479,0.1359991688732579,0.1468472381387031,0.1555968306520047,0.0010436155601457,0.0020331577752062,0.9277363816280404,0.0754917970735505,0.0132858208874517
LT05_L2SP_165040_19900212_02_T1,1990-02-12,landsat-5,165,0.0,35.18609372,185003,0.999945949744072,0.33735,0.4486975,0.1362734474708501,0.1363701320276644,0.022375756712002,0.1083888317673305,0.1130262680050918,0.1223058552725988,0.1503887686819457,0.1600816269428063,0.1661683007400922,0.0012270071296141,0.0021621271006416,0.9855786122387205,0.2519148338135057,0.0021891536893996
LT05_L2SP_166040_19900219_02_T1,1990-02-19,landsat-5,166,0.0,37.07296776,14791,0.0801836672738312,0.4294475,0.5136525000000001,0.0886171182496629,0.0892754467065614,0.0296023585429125,0.0803524756561398,0.0803697882200311,0.0848357664301806,0.0936605919941561,0.0979946452853224,0.0984671977068444,0.0016226083429112,0.0050706510715975,0.0408356432965992,0.0039889121763234,0.0015549996619565
LT05_L2SP_165040_19900228_02_T1,1990-02-28,landsat-5,165,0.0,39.73410275,185004,0.9999513547696648,0.347525,0.4660775,0.1475708439731834,0.1475783603377127,0.0159229508893214,0.1314981487823959,0.1354153166265231,0.1413971950456667,0.1538782861830923,0.1600257214296115,0.1645147932551804,0.0005891764502389,0.001254026939958,0.9968433114959676,0.4060074376770232,0.002345895223887
LT05_L2SP_166040_19900408_02_T1,1990-04-08,landsat-5,166,2.0,52.16626047,119824,0.6495793217104693,0.3529975,0.4640424999999999,0.1360826103518764,0.134704941615961,0.0196025644183183,0.1189006065454081,0.122555639026605,0.1281099123360269,0.1422539793643447,0.1511646944974441,0.1589132460240981,0.0007844839097342,0.0011349979970623,0.9954683535852584,0.1129740285752436,0.0034216851382026
LT05_L2SP_165040_19900417_02_T1,1990-04-17,landsat-5,165,0.0,54.61902972,185004,0.9999513547696648,0.3551424999999999,0.45516,0.1258462340592578,0.1252619288909435,0.0140032709408007,0.1087843921582269,0.11248571110218,0.1187681717301082,0.1331917639715725,0.1410343384234328,0.1457920917174578,0.0009945730903115,0.00143240146159,0.986448941644505,0.0241940714795355,0.0005243129878272
LT05_L2SP_166040_19900510_02_T1,1990-05-10,landsat-5,166,0.0,59.07078108,87948,0.476775956284153,0.3641625,0.4807075,0.1389919454236342,0.1394044536396524,0.0105942763364428,0.1255515617039768,0.1294393099836458,0.1341419895138424,0.1442926711011979,0.1491192063591218,0.1523280965609559,0.0003752217219265,0.0005230363396552,0.9965888934370308,0.0783985991722381,0.0005116659844453
LT05_L2SP_165040_19900519_02_T1,1990-05-19,landsat-5,165,0.0,59.99578902,185006,0.9999621648208504,0.356985,0.466875,0.1341685399177193,0.1343778319602008,0.0117389020144889,0.1193690967547551,0.1229138735011768,0.1283413599399574,0.1401450237877325,0.1458740536919795,0.1496153123062299,0.0003729608769445,0.0012269872328465,0.9949731360063998,0.0476741294876922,0.0008270002053987
LT05_L2SP_166040_19900526_02_T1,1990-05-26,landsat-5,166,0.0,60.4027216,99094,0.5371996703963917,0.383385,0.489095,0.1251809736278798,0.1255590499298933,0.0115923815076046,0.1102963554572755,0.1138394370644473,0.1197052595532647,0.1313058113819225,0.1363752776781955,0.1395346655130275,0.0003632914202676,0.0010091428340767,0.9887379659717036,0.0064282398530688,0.0007972228389206
LT05_L2SP_165040_19900604_02_T1,1990-06-04,landsat-5,165,1.0,60.5905736,184960,0.9997135336435818,0.3739524999999999,0.4715499999999999,0.1164673578518184,0.116252020818551,0.0198444366641917,0.1011047018432462,0.1047399672677626,0.109984894939392,0.1224743447157609,0.1289058771354566,0.1344792559692566,0.0008217993079584,0.0015300605536332,0.9589370674740484,0.0058877595155709,0.0012218858131487
LT05_L2SP_166040_19900611_02_T1,1990-06-11,landsat-5,166,0.0,60.5163727,87977,0.4769331685315292,0.3845125,0.5057050000000001,0.1360742137226232,0.1371657576543385,0.0117098925806219,0.1209018925371302,0.1248367740028987,0.1310670711552733,0.1418521440310087,0.1464140167992768,0.1489246313488802,0.000431931072894,0.0007842958955181,0.996499084988122,0.0369869397683485,0.0006933630380667
LT04_L2SP_165040_19900612_02_T1,1990-06-12,landsat-4,165,0.0,62.64477565,184983,0.999837849232216,0.3596525,0.4869775,0.1518905077537309,0.1493927637529538,0.0174388874658457,0.1314591451901029,0.1355511288846181,0.142075537575771,0.1583140078768164,0.172140755180528,0.181877850962753,0.000286512814691,0.0004757193904304,0.9980592811231302,0.4761572685057545,0.0162014887854559
LT05_L2SP_165040_19900620_02_T1,1990-06-20,landsat-5,165,0.0,60.20724839,185001,0.9999351396928864,0.368095,0.4672325,0.1206620835960595,0.1203198093387544,0.0147275394559481,0.101256092861822,0.1052880546615725,0.1123275815984998,0.127536723180743,0.1353953030492176,0.1452278120925232,0.0004324300949724,0.000870265566132,0.9595137323582036,0.0374754731055507,0.0005783752520256
LT05_L2SP_166040_19900627_02_T1,1990-06-27,landsat-5,166,0.0,59.84162692,83740,0.4539639170786712,0.3996099999999999,0.5214624999999999,0.1333791146795026,0.134439389458595,0.0134501990839353,0.1174864725605605,0.1220967047084689,0.1285330350212317,0.1395827909790796,0.1435308186504501,0.1458922583067867,0.000441843802245,0.00069262001433,0.9958084547408644,0.0152376403152615,0.000489610699785
LT05_L2SP_165040_19900722_02_T1,1990-07-22,landsat-5,165,0.0,58.03376834,184985,0.9998486592834016,0.3553075,0.4617874999999999,0.1334315377992642,0.1324465887152566,0.0289214527973849,0.1124861589103287,0.1169834706476735,0.1243612896651245,0.1406951008048505,0.1539274565208855,0.1632583715223899,0.0012595615860745,0.0016487823337027,0.9904532799956752,0.1285617752790767,0.0043517041922318
LT05_L2SP_166040_19900729_02_T1,1990-07-29,landsat-5,166,0.0,57.41068531,88768,0.481221268106514,0.40489,0.5194000000000001,0.1220657262109822,0.1242079925021491,0.0165219628425416,0.100701281536715,0.1059472961560636,0.114179094075621,0.1315807626010075,0.1359726048860221,0.1385141465022818,0.0006195926459985,0.0012391852919971,0.9553442682047584,0.0043371485219899,0.0003379596250901
LT04_L2SP_165040_19900730_02_T1,1990-07-30,landsat-4,165,0.0,59.23484574,185004,0.9999513547696648,0.3700475,0.46759,0.1198336055551361,0.1192042992876541,0.015298240418941,0.1018040609104425,0.1053449849090348,0.1105244462363568,0.1274705166567954,0.1361883246327397,0.1433652701264395,0.0004540442368813,0.0009891678017772,0.9513848349224882,0.0271291431536615,0.0005999870273075
LT05_L2SP_165040_19900807_02_T1,1990-08-07,landsat-5,165,0.0,56.52638156,184932,0.9995621929269836,0.3690024999999999,0.4811475,0.1351015515687785,0.1338491476483987,0.024912590013514,0.1139815083261733,0.1185899461035853,0.1257356114666145,0.1414826079334973,0.1544069103463015,0.165954103806069,0.0010760712045508,0.0015789587524062,0.9898232863971622,0.1272575865723617,0.006705167304739
LT05_L2SP_166040_19900814_02_T1,1990-08-14,landsat-5,166,2.0,55.73958761,91803,0.4976743429612282,0.4021674999999999,0.5100500000000001,0.1153782215476706,0.1176686327605749,0.0147423570194159,0.0941186594994242,0.0985440356696263,0.1067537567486341,0.1248977783866438,0.1302247055829716,0.1321094183836069,0.0004030369377907,0.0012417894840037,0.8784789168109974,0.001655719312005,0.0001416075727372
LT04_L2SP_165040_19900815_02_T1,1990-08-15,landsat-4,165,0.0,57.40636404,184989,0.9998702793857728,0.368975,0.4735575,0.1276217958049588,0.1262086471265189,0.0179027513711353,0.1053886089355894,0.1093392347652997,0.117277010576561,0.1351699984612108,0.1462244756548089,0.1552535987408413,0.000335155063274,0.000697338760683,0.978306818243247,0.0759883020071463,0.0027731378622512
LT05_L2SP_165040_19900823_02_T1,1990-08-23,landsat-5,165,0.0,54.58253563,184921,0.9995027376454628,0.3636675,0.4621725,0.1215583284910634,0.1221947509780447,0.0284142868968845,0.1007240351792014,0.1053379836517236,0.1132159485595583,0.1297941286951403,0.1380729747204073,0.1450604139231112,0.0013519286614283,0.0019467772724568,0.9556134781879828,0.0276983144153449,0.0022171630047425
LT05_L2SP_166040_19900830_02_T1,1990-08-30,landsat-5,166,0.0,53.5352162,98566,0.5343373232717495,0.401645,0.5141199999999999,0.1235576109297231,0.125188575770939,0.0146257741501489,0.1015382763412335,0.1066433408853893,0.1146319246495675,0.1338011694545627,0.138611966562829,0.1418130370769084,0.0002536371568289,0.0009029482783109,0.9581498691232272,0.0059858369011626,0.0006696020940283
LT04_L2SP_165040_19900831_02_T1,1990-08-31,landsat-4,165,0.0,54.99116065,184991,0.9998810894369584,0.3651525,0.47078,0.1329499849273294,0.1313085522674165,0.0192924724731918,0.1101715409114145,0.1145163021996916,0.1224236327564569,0.1401759808769659,0.1531559736952848,0.1658816785706954,0.0002378494088901,0.000486510154548,0.9841397689617332,0.1206923580066057,0.0060867826002346
LT04_L2SP_166040_19900907_02_T1,1990-09-07,landsat-4,166,0.0,53.7046756,61938,0.3357728337236534,0.4106375,0.5269075000000001,0.1213602850162976,0.1237781478179165,0.0134384959736146,0.1003486145873145,0.1072528369309461,0.1157276687776064,0.1297105630723689,0.1334868235269912,0.1362263304092004,0.00032290354871,0.0008234040492105,0.9632858665116728,0.00258322838968,9.687106461300008e-05
LT05_L2SP_165040_19900908_02_T1,1990-09-08,landsat-5,165,0.0,52.00049967,184976,0.9998000140530664,0.364905,0.4622,0.1244191260596625,0.1239136683268175,0.0187283028493217,0.1038979898070817,0.1087392267646016,0.1162111993531048,0.1312622039497305,0.1416226459260425,0.1484750931026906,0.0005243923536026,0.0009190381454891,0.9714881930628838,0.0413567165470115,0.0017569846899057
LT05_L2SP_166040_19900915_02_T1,1990-09-15,landsat-5,166,2.0,50.63391348,73669,0.3993678983433081,0.41204,0.5282825,0.1198168369152495,0.1226474252782004,0.0133423160146561,0.0983604817102179,0.1036080052230078,0.1124352275851674,0.1290148010607668,0.1329380035772013,0.1355446520806369,0.000257910382929,0.0007465826874261,0.9360382250335962,0.0013574230680476,1.3574230680476183e-05
LT05_L2SP_165040_19900924_02_T1,1990-09-24,landsat-5,165,0.0,48.6663323,185001,0.9999351396928864,0.370295,0.4782599999999999,0.1329815718656356,0.1331656661577008,0.0203033058533592,0.1140347810578388,0.1188081448353347,0.1259695197136541,0.1397528212177015,0.1475769658670453,0.1541262883004281,0.00062702363771,0.0008972924470678,0.9906054561867234,0.0798752439176004,0.0024972837984659
LT05_L2SP_166040_19901001_02_T1,1990-10-01,landsat-5,166,0.0,46.99315669,96751,0.5244980050307919,0.40511,0.5242125,0.1321706923790024,0.1329018635638703,0.0117509126612568,0.1159557895124488,0.1205954581201279,0.1268564739660123,0.1378022122734098,0.1433067595103486,0.1470806224100947,0.0002170520201341,0.0004754472821986,0.989715868569834,0.0278343376295852,0.0008475364595714
LT05_L2SP_165040_19901010_02_T1,1990-10-10,landsat-5,165,0.0,44.69451975,184999,0.9999243296417007,0.36012,0.47001,0.136446100773355,0.1350287492156276,0.0207649047193602,0.1170777333174777,0.1216090091716119,0.128292730730348,0.1440344135060472,0.1550957152472334,0.1609980368240776,0.000545948897021,0.0008054097589716,0.9913675209055184,0.1581197736203979,0.0032486662090065
LT05_L2SP_165040_19901111_02_T1,1990-11-11,landsat-5,165,1.0,36.11802874,184979,0.9998162291298448,0.3481574999999999,0.4370375,0.1179509465331182,0.1175667266521489,0.0200417406640139,0.0957331905100891,0.1021161016943461,0.1088185921013286,0.126589672208493,0.1355383907216424,0.1407671847107378,0.0004973537536693,0.0025300169208396,0.9237535071548664,0.0159910043842814,0.0018110163856437
LT05_L2SP_166040_19901118_02_T1,1990-11-18,landsat-5,166,0.0,34.41777832,4013,0.0217549223696764,0.427495,0.5474224999999999,0.1206708724234182,0.1199650838012836,0.0061225066120325,0.1095759549695836,0.1136212758632086,0.1177848325456421,0.1235283307165432,0.1279531210027696,0.1315188577760266,0.0,0.0,1.0,0.0,0.0
LT04_L2SP_165040_19901205_02_T1,1990-12-05,landsat-4,165,1.0,31.80286617,184985,0.9998486592834016,0.31755,0.4204549999999999,0.136380108760704,0.1353405389917015,0.0195760181235958,0.1109401291837082,0.1161870591391146,0.1257422485371111,0.1460079297647015,0.1577312016002609,0.166063507093213,0.000659512933481,0.0016001297402492,0.9877773873557316,0.1898262021244965,0.0047084898775576
LT05_L2SP_166040_19901220_02_T1,1990-12-20,landsat-5,166,0.0,29.37975476,133091,0.7215012143290832,0.3207399999999999,0.4243325,0.1406073457007632,0.1355949830027007,0.0292049826504507,0.1113089875388124,0.1164478251738535,0.1238516656212262,0.1529320386086997,0.1698386271786217,0.1837034488489267,0.0004433057081245,0.0013524580925832,0.9862725503602798,0.2858645588356838,0.0234726615623896
LT04_L2SP_166040_19901228_02_T1,1990-12-28,landsat-4,166,0.0,29.60800876,55474,0.3007307658947003,0.4133325,0.5358725,0.127505926858757,0.1284880857231898,0.0121952976755258,0.1108781234200207,0.1151119200114018,0.1222414525127865,0.1342064183050623,0.1395952148026814,0.1438941397052373,0.0003064498684068,0.0004506615711865,0.9849659299852184,0.0169989544651548,0.0003605292569492
LT05_L2SP_165040_19901229_02_T1,1990-12-29,landsat-5,165,1.0,29.01718638,184959,0.999708128617989,0.344775,0.454225,0.1354234146873635,0.1313610883520771,0.0259678323778942,0.1050185702951522,0.1100143606050296,0.1191864237980907,0.1477005971185049,0.1653058019202034,0.1785077407432037,0.0005298471553155,0.0014814093934331,0.9753080412415724,0.216566914829773,0.019025838158727
