image,date,year,month,veg_px,con_px,veg_shape,con_shape,R,G,B,sdR,redfrac,RminusB,z_R,z_G,z_B,z_RminusB,z_redfrac
32,2021-07-24,2021,7,2640,85061,"(818, 1395)","(2141, 3647)",185.37890304734714,178.93407527698093,155.48055383573274,35.11467131025776,0.02433551547317224,29.898349211614402,-0.5955184161777698,-0.27738531930469357,-1.037329009097648,0.8852242168483375,0.1283228103339225
31,2021-08-30,2021,8,857,149580,"(820, 1395)","(2141, 3640)",202.31100320812436,194.65209013836386,180.0826620955572,32.86396551256138,0.011180399784973628,22.228341112567165,1.06026826582069,1.014064828001457,0.5554435665187963,0.2016696371664125,-0.5908518619265306
30,2021-09-29,2021,9,293,146471,"(818, 1395)","(2141, 3647)",204.66259427093885,199.53534492840348,187.6552899708647,31.05276757723515,0.005383622942470943,17.007304300074168,1.2902298846595963,1.4152910753072991,1.0457053716355116,-0.2636315173800644,-0.9077548207970291
29,2021-10-22,2021,10,1015,78862,"(818, 1395)","(2141, 3647)",199.07083560303602,193.25457565370783,178.9776618426283,32.0387649425804,0.011771224675806151,20.093173760407723,0.7434129249589536,0.8992398769508183,0.4839044089666561,0.011382560137482806,-0.5585521613918574
28,2021-11-28,2021,11,1242,197691,"(818, 1395)","(2141, 3647)",189.53447983707156,185.43008242639354,183.48586349932648,33.0302326329905,0.012734129444717655,6.048616337745074,-0.18914539457312046,0.2563506177074311,0.7757712639655591,-1.2402747291239666,-0.5059112923935563
27,2021-12-23,2021,12,2216,180287,"(818, 1395)","(2141, 3647)",191.58225249216537,185.41884616053383,179.64624800874213,34.99409491889978,0.017324578709357275,11.936004483423233,0.011105883051575156,0.2554274046091064,0.5271895493528428,-0.7155880433506773,-0.25495684062943785
26,2022-01-25,2022,1,2451,158917,"(818, 1395)","(2141, 3647)",183.0566226184397,177.7365115393682,170.13375937092064,35.36233143627977,0.019050066128723064,12.922863247519047,-0.8226137539999456,-0.37578157856439515,-0.0886613715589735,-0.6276387453856943,-0.16062647678283506
25,2022-02-21,2022,2,4064,134562,"(818, 1395)","(2141, 3647)",190.7799166883666,178.29118950319642,163.2525719463755,37.08076133198875,0.03156420399929163,27.5273447419911,-0.06735437443603173,-0.33020718864233267,-0.5341584200940513,0.6739192295878097,0.5235066935367535
24,2022-03-26,2022,3,3755,90472,"(817, 1395)","(2141, 3653)",188.42721566918092,174.90489257113782,160.4836069419078,33.61568166222988,0.028222711723282317,27.94360872727313,-0.29742453568607147,-0.6084378501028901,-0.7134248258581438,0.7110168636217981,0.34083124852978514
23,2022-04-17,2022,4,166,101117,"(818, 1395)","(2141, 3647)",202.4824162952119,197.57336358360547,193.85804768822464,28.217186656662815,0.0037252254488823254,8.624368606987247,1.0770307172605438,1.254087442463274,1.447279996097175,-1.0107225256542849,-0.99841745746233
22,2022-05-20,2022,5,1063,56827,"(818, 1395)","(2141, 3647)",203.84804273667373,197.74700063894886,174.39721338962372,26.326645664765273,0.009639176141906684,29.450829347050018,1.210575053337379,1.2683541041682433,0.18736020214823954,0.8453410447615155,-0.6751087422652631
