image,cls,fd_full,r2_full,fd_fine_1_8,fd_mid_8_64,fd_coarse_32_256,counts
63,vegetation,0.4796808509520188,0.9676417036502979,0.6817106225949884,0.27574144301925035,0.5795859283219785,"[247, 139, 86, 60, 45, 40, 33, 22, 12]"
63,contamination,1.5755910858272457,0.9988268689671995,1.6330081709796873,1.48308648190556,1.716404578982308,"[539611, 158236, 51199, 18064, 6665, 2436, 821, 246, 69]"
62,vegetation,0.886862973918482,0.9879686991977702,1.1675474696656736,0.7749027249523435,0.774339186332565,"[2024, 767, 339, 179, 105, 60, 36, 21, 12]"
62,contamination,1.3712204443344491,0.9929269841792591,1.6843076989949952,1.1546980120664125,1.3263229642238672,"[195630, 55224, 17020, 5912, 2358, 1100, 529, 218, 69]"
61,vegetation,1.0637960133384177,0.9949124462680942,1.2439853329832204,0.919154243877774,1.0867105729502666,"[5031, 1868, 799, 377, 194, 96, 57, 27, 10]"
61,contamination,1.3726630001254925,0.9943919505964417,1.6576269022955603,1.1685303356031391,1.3526676658182344,"[196619, 56246, 17649, 6282, 2563, 1166, 549, 215, 70]"
60,vegetation,0.7650120618212009,0.9870543934229267,0.8745942912975205,0.6363226522909369,0.9131022430781853,"[1177, 540, 299, 190, 121, 76, 51, 30, 11]"
60,contamination,1.326971021285706,0.9948614348384685,1.5659950694972862,1.1086753969917709,1.406525470854663,"[161680, 48448, 16238, 6245, 2701, 1294, 616, 227, 70]"
59,vegetation,1.1613895616563163,0.9961481731873799,1.235971681328458,1.0576172550403593,1.3476264772984927,"[10070, 3713, 1574, 771, 403, 197, 85, 33, 12]"
59,contamination,1.3441322268324043,0.9963553258832584,1.5470500487629217,1.1571558512431959,1.4291642764892276,"[168879, 51461, 17454, 6788, 2899, 1352, 604, 217, 70]"
58,vegetation,0.8998649040042541,0.9934806584215027,1.0746395975384597,0.7556412404429035,0.9216796371843224,"[2322, 916, 443, 247, 137, 78, 52, 24, 12]"
58,contamination,1.2992756104967014,0.9930490756331244,1.5910241450731302,1.0798605794930072,1.3086645712286715,"[137880, 40650, 13387, 5056, 2156, 1075, 526, 219, 70]"
57,vegetation,1.1480341934437894,0.9959804354974044,1.302629767266341,0.9973582882064365,1.2668491052275084,"[8946, 3186, 1285, 597, 305, 153, 75, 31, 11]"
57,contamination,1.3517057792806426,0.9961988500636443,1.5344398212132027,1.1652397779764345,1.4842538957853055,"[180348, 55133, 18952, 7430, 3233, 1514, 648, 233, 69]"
56,vegetation,0.7425587462536324,0.9870484773502128,0.8559828369577682,0.593966969437366,0.9080147508339428,"[1016, 472, 267, 170, 114, 73, 50, 27, 11]"
56,contamination,1.2946290044176865,0.9941345027142081,1.5532468413745764,1.0717343396868773,1.3715554800850236,"[138876, 41660, 14089, 5508, 2477, 1228, 585, 225, 71]"
55,vegetation,0.820704834889877,0.9889606117830024,0.948110872388081,0.6639824435755676,0.9823878126591503,"[1581, 699, 363, 220, 134, 86, 55, 29, 11]"
55,contamination,1.2859802646666338,0.9941749406643209,1.5428787481443944,1.0665761296596683,1.3579085199352077,"[133150, 40227, 13672, 5400, 2421, 1209, 579, 224, 72]"
53,vegetation,0.5474983304887415,0.9583024455598558,0.5995305894550983,0.38728310815333405,0.8520422248526459,"[402, 227, 152, 115, 92, 72, 51, 30, 12]"
53,contamination,1.26780549111372,0.9933718460635103,1.4892892478419142,1.0314837419635918,1.4345447729933793,"[123486, 38234, 13504, 5596, 2626, 1359, 643, 236, 69]"
52,vegetation,0.7581468784087687,0.9770818160556818,0.8306621513868702,0.6043994844948501,1.0294306022401862,"[1125, 538, 307, 199, 138, 89, 57, 32, 10]"
52,contamination,1.3510747763541306,0.9964064146640867,1.4939407940393223,1.1778567776245419,1.5298784227336537,"[182401, 57032, 20288, 8158, 3661, 1700, 693, 236, 71]"
51,vegetation,0.8134333744181842,0.9856293185116781,0.8771524542419726,0.7020299885288314,1.068120672563777,"[1479, 686, 372, 239, 172, 103, 56, 28, 11]"
51,contamination,1.3214748776935281,0.9951800289757748,1.5241869229083744,1.1092817383428513,1.4671176364161422,"[157148, 47838, 16522, 6619, 2973, 1444, 649, 228, 69]"
50,vegetation,0.7742588687444519,0.9898441057581666,0.8662258225749492,0.6614165647283748,0.949450851788832,"[1258, 586, 320, 208, 141, 87, 53, 28, 12]"
