year,n,med,q1,q3,anom,anom_q1,anom_q3,lt0,gt020,platforms
2008,13,0.1124547145933994,0.1036314347862061,0.1247915282930194,0.0236260471179097,0.019397571360983898,0.0414421378928779,0.0102456384256775,0.000525679440677,L7
2009,15,0.1064558131029995,0.09980148515440959,0.11549488141335054,0.048186578670977004,0.027791006875402,0.0794373237507007,0.0107940776641645,0.0002562768996525,L7
2010,18,0.1050599738151457,0.09825421971340967,0.11050437933605257,0.03561678199305367,0.026881688469375786,0.05450430716751491,0.0094370733461289,0.00011999007271188562,L7
2011,19,0.1222482719169,0.11130429564745284,0.12666729502191443,0.0178721793840767,0.0160500039402423,0.0308244509450745,0.007639880021065,0.0003086419753086,L7
2012,24,0.1252253584995186,0.11768814572087133,0.13421631194152409,0.016179798684496302,0.013817913419778975,0.024782102570298073,0.00706534200928265,0.001274963593133,L7
2013,44,0.1257030231236724,0.11807965657068666,0.13361308267583197,0.014772210894923251,0.0104649000327892,0.024620005045882448,0.0059418753980445,0.0012085798270365,L7/L8
2014,55,0.1217967095067285,0.11590005491741315,0.12849458018950605,0.020954092941418298,0.015950232128189648,0.02852282171121705,0.0075216631336234,0.0033253545024845,L7/L8
2015,47,0.1317821059723063,0.12300644098849886,0.13562612085831094,0.0176271369638449,0.014294085660813301,0.0276625791018324,0.0061132161138106,0.0034728760015899,L7/L8
2016,55,0.1262962223802708,0.11850298669716555,0.13417090004046525,0.0179916544735273,0.0135149017957472,0.02565978769389035,0.0066941769830353,0.0039566498202751,L7/L8
2017,55,0.122507671145025,0.1171431655480278,0.13441877311961808,0.019176507076774,0.016844846024766102,0.0253809535397162,0.0071347494730014,0.0044375258371227,L7/L8
2018,53,0.1269454988056495,0.1197558211370094,0.1333838429168576,0.0156240924667479,0.0126323630068042,0.0206042916599102,0.0065023863703927,0.0026701115068833,L7/L8
2019,42,0.1178999999313187,0.11254075686877793,0.12419594415082295,0.0404857816614336,0.03224783945184555,0.05743650032831153,0.016704331843222148,0.00340503964891895,L7/L8
2020,43,0.1221168681072582,0.11571122451043389,0.12690268914651343,0.025056681050244903,0.018064758029713197,0.03738441238525625,0.0086569073543735,0.0019944760041294,L7/L8
2021,45,0.1209445022270032,0.1129027369859303,0.1280823358125135,0.021171828549808,0.016442771908292998,0.0384725702317878,0.0071292672907703,0.0032322227747389,L7/L8/L9
2022,45,0.1151326358459748,0.1046747573734907,0.1233628668458493,0.0176832571642888,0.0127764365709067,0.031776709065575795,0.0060914967677772,0.0005891477896147,L7/L8/L9
2023,70,0.1259832286045156,0.11737398708273893,0.13223601779731137,0.0287052540930152,0.019411597797297325,0.043014143128542445,0.00731526939894445,0.008268793572002098,L7/L8/L9
2024,65,0.1300219006105569,0.1225651300293478,0.1358113535741288,0.024831358643950502,0.0197448786552077,0.0351766944937063,0.0055780467107361,0.0109551438018591,L8/L9
